price,area_m2,bedrooms,bathrooms,vagas,endereco,description
3196671,209 - 259,4,4,4 - 5,"Avenida Coronel Miguel Dias, Guararapes","O Cosmopolitan não é apenas um lugar para morar. É um novo e exclusivo estilo de vida. Localizado no melhor do Guararapes, ele oferece mais de 7mil m² de área de lazer, que proporc..."
355000,48 - 68,2 - 3,2,1 - 2,"Rua Senador Pompeu, Fátima","Localização: Rua Senador Pompeu, 2610 - Fátima, Fortaleza - CE.Comece a pagar seu financiamento daqui a 6 mesesFaça já o tour virtual 360° no empreendimento e compre 10..."
294500,53 - 114,2 - 4,1,1 - 3,"Rua Senador Pompeu, José Bonifácio","18 Pavimentos, sendo:2 Subsolos + Térreo + Mezanino + 13 Pavimentos Tipo + 4 Coberturas;112 Apartamentos;2 Elevadores;Localização privilegiada (UFC, Farias Brito, B..."
580000,92,3,3,2,"Joaquim Tavora, Fortaleza","Excelente apartamento no Joaquim Távora, área privativa de 92 m², todo projetado por arquiteto renomado, projeto de iluminacao com lampadas embutidas, sancas e lustre na sala, com..."
400000,78,2,3,2,"Travessa Beni Carvalho, Aldeota",Apartamento muito bem conservado e todo projetado (móveis Criare); - Excelente localização; - 3 centrais de ar-condicionado (sendo 1 em cada quarto e uma de 30.000 btus na sala); -...
550000,90,3,3,2,"Rua Solon Pinheiro, Fortaleza","APARTAMENTO TOP DO BAIRRO DE FÁTIMA.LAZER COMPLETO, ÁREA 90m², ARMÁRIOSESTUDO RECEBER UM APARTAMENTO DE MENOR VALOR.DETALHES | IMÓVELPrédio com 20 andares local..."
529000,77,3,2,2,"Rua Silva Paulet, Meireles","Edifício Residencial Silva Paulet - Apartamento com 77m² de área privativa com móveis projetados, contendo: 03 quartos Sala de estar/jantar Lavabo Cozinha Área de serviço Varanda 2..."
550000,158,4,2,2,"Rua Vilebaldo Aguiar, Cocó","Apartamento com 4 dormitórios à venda por R$ 550.000,00 no Cocó - Fortaleza/CE. Uma excelente oportunidade , todo projetado com móveis na cozinha, despensa , pisos porcelanato na s..."
300000,108,3,2,2,"Rua Vilebaldo Aguiar, Cocó","Localização privilegiada a poucos metros do Parque do Cocó, próximo a super-mercados, farmácias, colégios e universidades. Reformado com bom gosto sala com piso em porcelanato dema..."
390000,67,3,2,2,"Rua Padre Roma, Fortaleza","APARTAMENTO COM LAZER.EXCELENTE APARTAMENTO.GRANDE OPORTUNIDADE.REF. : 107DETALHES DA LOCALIZAÇÃOPrédio com 20 andares em uma excelente localização, no melh..."
